test_alloca_i32() =>
test_alloca_i64() =>
test_alloca_f32() =>
test_alloca_f64() =>
test_alloca_with_dropkeep_i32() => i32:0
test_alloca_with_dropkeep_i64() => i64:0
test_alloca_with_dropkeep_f32() => f32:0.000000
test_alloca_with_dropkeep_f64() => f64:0.000000
test_alloca_with_dropkeep_i32_i32_0() => i32:0
test_alloca_with_dropkeep_i64_i32_0() => i64:0
test_alloca_with_dropkeep_f32_i32_0() => f32:0.000000
test_alloca_with_dropkeep_f64_i32_0() => f64:0.000000
test_alloca_with_dropkeep_i32_i32_1() => i32:0
test_alloca_with_dropkeep_i64_i32_1() => i32:0
test_alloca_with_dropkeep_f32_i32_1() => i32:0
test_alloca_with_dropkeep_f64_i32_1() => i32:0
test_alloca_with_dropkeep_i32_i64_0() => i32:0
test_alloca_with_dropkeep_i64_i64_0() => i64:0
test_alloca_with_dropkeep_f32_i64_0() => f32:0.000000
test_alloca_with_dropkeep_f64_i64_0() => f64:0.000000
test_alloca_with_dropkeep_i32_i64_1() => i64:0
test_alloca_with_dropkeep_i64_i64_1() => i64:0
test_alloca_with_dropkeep_f32_i64_1() => i64:0
test_alloca_with_dropkeep_f64_i64_1() => i64:0
test_alloca_with_dropkeep_i32_f32_0() => i32:0
test_alloca_with_dropkeep_i64_f32_0() => i64:0
test_alloca_with_dropkeep_f32_f32_0() => f32:0.000000
test_alloca_with_dropkeep_f64_f32_0() => f64:0.000000
test_alloca_with_dropkeep_i32_f32_1() => f32:0.000000
test_alloca_with_dropkeep_i64_f32_1() => f32:0.000000
test_alloca_with_dropkeep_f32_f32_1() => f32:0.000000
test_alloca_with_dropkeep_f64_f32_1() => f32:0.000000
test_alloca_with_dropkeep_i32_f64_0() => i32:0
test_alloca_with_dropkeep_i64_f64_0() => i64:0
test_alloca_with_dropkeep_f32_f64_0() => f32:0.000000
test_alloca_with_dropkeep_f64_f64_0() => f64:0.000000
test_alloca_with_dropkeep_i32_f64_1() => f64:0.000000
test_alloca_with_dropkeep_i64_f64_1() => f64:0.000000
test_alloca_with_dropkeep_f32_f64_1() => f64:0.000000
test_alloca_with_dropkeep_f64_f64_1() => f64:0.000000
