0x1	Nop "nop"
0x2	Block "block"
0x3	Loop "loop"
0x4	If "if"
0x5	Else "else"
0x6	Try "try"
0x7	Catch "catch"
0x8	Throw "throw"
0x9	Rethrow "rethrow"
0xa	BrOnExn "br_on_exn"
0xb	End "end"
0xc	Br "br"
0xd	BrIf "br_if"
0xe	BrTable "br_table"
0xf	Return "return"
0x10	Call "call"
0x11	CallIndirect "call_indirect"
0x12	ReturnCall "return_call"
0x13	ReturnCallIndirect "return_call_indirect"
0x14	Drop "drop"
0x15	Select "select"
0x16	LocalGet "local.get"
0x17	LocalSet "local.set"
0x18	LocalTee "local.tee"
0x19	GlobalGet "global.get"
0x1a	GlobalSet "global.set"
0x1b	I32Load "i32.load"
0x1c	I64Load "i64.load"
0x1d	F32Load "f32.load"
0x1e	F64Load "f64.load"
0x1f	I32Load8S "i32.load8_s"
0x20	I32Load8U "i32.load8_u"
0x21	I32Load16S "i32.load16_s"
0x22	I32Load16U "i32.load16_u"
0x23	I64Load8S "i64.load8_s"
0x24	I64Load8U "i64.load8_u"
0x25	I64Load16S "i64.load16_s"
0x26	I64Load16U "i64.load16_u"
0x27	I64Load32S "i64.load32_s"
0x28	I64Load32U "i64.load32_u"
0x29	I32Store "i32.store"
0x2a	I64Store "i64.store"
0x2b	F32Store "f32.store"
0x2c	F64Store "f64.store"
0x2d	I32Store8 "i32.store8"
0x2e	I32Store16 "i32.store16"
0x2f	I64Store8 "i64.store8"
0x30	I64Store16 "i64.store16"
0x31	I64Store32 "i64.store32"
0x32	MemorySize "memory.size"
0x33	MemoryGrow "memory.grow"
0x34	I32Const "i32.const"
0x35	I64Const "i64.const"
0x36	F32Const "f32.const"
0x37	F64Const "f64.const"
0x38	I32Eqz "i32.eqz"
0x39	I32Eq "i32.eq"
0x3a	I32Ne "i32.ne"
0x3b	I32LtS "i32.lt_s"
0x3c	I32LtU "i32.lt_u"
0x3d	I32GtS "i32.gt_s"
0x3e	I32GtU "i32.gt_u"
0x3f	I32LeS "i32.le_s"
0x40	I32LeU "i32.le_u"
0x41	I32GeS "i32.ge_s"
0x42	I32GeU "i32.ge_u"
0x43	I64Eqz "i64.eqz"
0x44	I64Eq "i64.eq"
0x45	I64Ne "i64.ne"
0x46	I64LtS "i64.lt_s"
0x47	I64LtU "i64.lt_u"
0x48	I64GtS "i64.gt_s"
0x49	I64GtU "i64.gt_u"
0x4a	I64LeS "i64.le_s"
0x4b	I64LeU "i64.le_u"
0x4c	I64GeS "i64.ge_s"
0x4d	I64GeU "i64.ge_u"
0x4e	F32Eq "f32.eq"
0x4f	F32Ne "f32.ne"
0x50	F32Lt "f32.lt"
0x51	F32Gt "f32.gt"
0x52	F32Le "f32.le"
0x53	F32Ge "f32.ge"
0x54	F64Eq "f64.eq"
0x55	F64Ne "f64.ne"
0x56	F64Lt "f64.lt"
0x57	F64Gt "f64.gt"
0x58	F64Le "f64.le"
0x59	F64Ge "f64.ge"
0x5a	I32Clz "i32.clz"
0x5b	I32Ctz "i32.ctz"
0x5c	I32Popcnt "i32.popcnt"
0x5d	I32Add "i32.add"
0x5e	I32Sub "i32.sub"
0x5f	I32Mul "i32.mul"
0x60	I32DivS "i32.div_s"
0x61	I32DivU "i32.div_u"
0x62	I32RemS "i32.rem_s"
0x63	I32RemU "i32.rem_u"
0x64	I32And "i32.and"
0x65	I32Or "i32.or"
0x66	I32Xor "i32.xor"
0x67	I32Shl "i32.shl"
0x68	I32ShrS "i32.shr_s"
0x69	I32ShrU "i32.shr_u"
0x6a	I32Rotl "i32.rotl"
0x6b	I32Rotr "i32.rotr"
0x6c	I64Clz "i64.clz"
0x6d	I64Ctz "i64.ctz"
0x6e	I64Popcnt "i64.popcnt"
0x6f	I64Add "i64.add"
0x70	I64Sub "i64.sub"
0x71	I64Mul "i64.mul"
0x72	I64DivS "i64.div_s"
0x73	I64DivU "i64.div_u"
0x74	I64RemS "i64.rem_s"
0x75	I64RemU "i64.rem_u"
0x76	I64And "i64.and"
0x77	I64Or "i64.or"
0x78	I64Xor "i64.xor"
0x79	I64Shl "i64.shl"
0x7a	I64ShrS "i64.shr_s"
0x7b	I64ShrU "i64.shr_u"
0x7c	I64Rotl "i64.rotl"
0x7d	I64Rotr "i64.rotr"
0x7e	F32Abs "f32.abs"
0x7f	F32Neg "f32.neg"
0x80	F32Ceil "f32.ceil"
0x81	F32Floor "f32.floor"
0x82	F32Trunc "f32.trunc"
0x83	F32Nearest "f32.nearest"
0x84	F32Sqrt "f32.sqrt"
0x85	F32Add "f32.add"
0x86	F32Sub "f32.sub"
0x87	F32Mul "f32.mul"
0x88	F32Div "f32.div"
0x89	F32Min "f32.min"
0x8a	F32Max "f32.max"
0x8b	F32Copysign "f32.copysign"
0x8c	F64Abs "f64.abs"
0x8d	F64Neg "f64.neg"
0x8e	F64Ceil "f64.ceil"
0x8f	F64Floor "f64.floor"
0x90	F64Trunc "f64.trunc"
0x91	F64Nearest "f64.nearest"
0x92	F64Sqrt "f64.sqrt"
0x93	F64Add "f64.add"
0x94	F64Sub "f64.sub"
0x95	F64Mul "f64.mul"
0x96	F64Div "f64.div"
0x97	F64Min "f64.min"
0x98	F64Max "f64.max"
0x99	F64Copysign "f64.copysign"
0x9a	I32WrapI64 "i32.wrap_i64"
